series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed,AirDay_Num,APV_linear,index_linear,APV_logarithm,Index_Logarith,APV_Daypart,Index_Daypart,APV_network,Index_network,Engagement index
series1317,network13,Broadcast,20,MTWRF,0.291666667,earlymorning,120,14781161,11556548.88,35.05,5,32.296,1.085273718,30.42118034,1.152157793,42.33,0.828017954,50.73,0.690912675,0.890362807
series509,network5,Broadcast,20,MTWRF,0.291666667,earlymorning,120,12743372,9929612.727,35.04,5,32.296,1.084964082,30.42118034,1.151829075,42.33,0.827781715,47.37,0.739708676,0.906439822
series831,network13,Broadcast,20,MTWRF,0.770833333,earlyfringe,30,9944649,3573048.141,68.33,5,59.08,1.156567366,60.69784918,1.125740054,46.72,1.462542808,50.73,1.346934753,1.311739205
series1157,network4,Broadcast,20,MTWRF,0.291666667,earlymorning,120,8792309,6309502.749,33.37,5,32.296,1.033254892,30.42118034,1.096933111,42.33,0.78832979,50.69,0.65831525,0.847859384
series58,network5,Broadcast,23,MTWRFS,0.770833333,earlyfringe,30,8615800,2998523.374,66.21,6,59.08,1.120683819,60.69784918,1.090812951,46.72,1.417166096,47.37,1.397720076,1.301899708
series1282,network13,Broadcast,19,MTWRF,0.982638889,latefringe,62,7668241,3978746.925,47.53,5,49.5568,0.959101475,44.84338503,1.059911065,51.59,0.921302578,50.73,0.936920954,0.972711532
series237,network4,Broadcast,20,MTWRF,0.770833333,earlyfringe,30,7180556,2408889.268,64.25,5,59.08,1.087508463,60.69784918,1.058521856,46.72,1.375214041,50.69,1.267508384,1.233748094
series1318,network13,Broadcast,20,MTWRF,0.375,daytime,60,6827592,4100840,57,5,50.152,1.136544903,45.55951476,1.251110779,48.112,1.184735617,50.73,1.123595506,1.186480634
series1237,network4,Broadcast,20,MTWRF,0.458333333,daytime,60,6711197,4082280,57,5,50.152,1.136544903,45.55951476,1.251110779,48.112,1.184735617,50.69,1.124482146,1.186776181
series1291,network5,Broadcast,20,MTWRF,0.458333333,daytime,60,6376645,3657400,54,5,50.152,1.076726751,45.55951476,1.185262843,48.112,1.122381111,47.37,1.139962001,1.149201985
series853,network5,Broadcast,20,MTWRF,0.982638889,latefringe,27,6133555,1970675.858,68.37,5,59.9728,1.140016808,62.99892285,1.085256651,51.59,1.325256833,47.37,1.443318556,1.28461068
series675,network4,Broadcast,17,MTWRF,0.982638889,latefringe,62,6076205,3297444.112,50.08,5,49.5568,1.010557582,44.84338503,1.11677564,51.59,0.970730762,50.69,0.987966068,1.02515749
series1304,network4,Broadcast,20,MTWRF,0.520833333,daytime,60,5769701,3455960,56,5,50.152,1.116605519,45.55951476,1.229161467,48.112,1.163950782,50.69,1.104754389,1.165955546
series587,network32,Cable,26,MTWRFSU,0.770833333,earlyfringe,30,5076336,1697821.342,63.7,7,59.08,1.078199052,60.69784918,1.04946058,46.72,1.363441781,64.58,0.98637349,1.13309195
series587,network32,Cable,25,MTWRFSU,0.75,earlyfringe,30,5025463,1644354.271,62.38,7,59.08,1.055856466,60.69784918,1.027713516,46.72,1.335188356,64.58,0.965933726,1.109611866
series1319,network13,Broadcast,20,MTWRF,0.416666667,daytime,60,4959920,2883120,55,5,50.152,1.096666135,45.55951476,1.207212155,48.112,1.143165946,50.73,1.084171102,1.144849734
series450,network34,Cable,20,MTWRF,0.25,earlymorning,180,4958273,3607808.328,22.03,5,14.44,1.525623269,21.56582238,1.021523762,42.33,0.52043468,47.04,0.46832483,0.670094424
series1223,network34,Cable,20,MTWRF,0.833333333,prime,60,4730637,2365596.285,47.01,5,50.152,0.937350455,45.55951476,1.031837153,45,1.044666667,47.04,0.999362245,1.025288688
series636,network5,Broadcast,20,MTWRF,0.001388889,latefringe,64,4675812,2990883.243,57.88,5,48.9616,1.18215091,44.14999346,1.310985472,51.59,1.121922853,47.37,1.221870382,1.218259569
series314,network5,Broadcast,3,M,0.833333333,prime,121,4473165,4094865.438,39.75,1,31.9984,1.242249612,30.23993448,1.314486975,45,0.883333333,47.37,0.839138695,1.012319668
series1059,network32,Cable,27,MTWRFSU,0.645833333,daytime,30,4408064,1496218.5,65,7,59.08,1.100203114,60.69784918,1.070878143,48.112,1.3510143,64.58,1.006503561,1.142798668
series525,network34,Cable,21,MTWRFU,0.875,prime,60,4368287,1913884.286,41.3,6,50.152,0.82349657,45.55951476,0.906506582,45,0.917777778,47.04,0.87797619,0.900753517
series72,network5,Broadcast,20,MTWRF,0.541666667,daytime,60,4307543,2340580,52,5,50.152,1.036847982,45.55951476,1.141364219,48.112,1.08081144,47.37,1.097741186,1.106638949
series314,network5,Broadcast,4,T,0.875,prime,61,4191927,2322875.183,49.51,1,49.8544,0.993091884,45.19851481,1.095389975,45,1.100222222,47.37,1.045176272,1.080262823
series587,network32,Cable,21,MTWRFSU,0.791666667,primeaccess,30,4101843,1398419.052,64.86,7,59.08,1.097833446,60.69784918,1.068571636,43.7,1.484210526,64.58,1.004335708,1.185705957
series687,network4,Broadcast,20,MTWRF,0.625,daytime,60,4054714,2214040,52,5,50.152,1.036847982,45.55951476,1.141364219,48.112,1.08081144,50.69,1.025843362,1.082673007
series1277,network4,Broadcast,20,MTWRF,0.583333333,daytime,60,3907182,2100660,51,5,50.152,1.016908598,45.55951476,1.119414907,48.112,1.060026605,50.69,1.006115605,1.061852372
series1172,network34,Cable,20,MTWRF,0.791666667,primeaccess,60,3884737,1632469.957,39.98,5,50.152,0.797176583,45.55951476,0.87753349,43.7,0.914874142,47.04,0.849914966,0.880774199
series674,network13,Broadcast,19,MTWRF,0.025694444,latefringe,59,3863585,2486138.907,63.31,5,50.4496,1.254915797,45.92658223,1.378504494,51.59,1.227175809,50.73,1.247979499,1.284553268
series325,network13,Broadcast,20,MTWRF,0.541666667,daytime,60,3839376,2171540,54,5,50.152,1.076726751,45.55951476,1.185262843,48.112,1.122381111,50.73,1.0644589,1.124034285
series83,network18,Broadcast,4,R,0.833333333,prime,60.25,3829201,2390738.912,56.78,1,50.0776,1.13384028,45.46870382,1.248771028,45,1.261777778,42.98,1.321079572,1.277209459
series872,network34,Cable,20,MTWRF,0.916666667,prime,60,3740734,1665062.829,41.93,5,50.152,0.836058383,45.55951476,0.920334648,45,0.931777778,47.04,0.891369048,0.914493825
series1059,network32,Cable,23,MTWRFSU,0.354166667,earlymorning,30,3551442,1209136.434,65.57,7,59.08,1.109851049,60.69784918,1.08026892,42.33,1.549019608,64.58,1.015329823,1.214872784
series1059,network32,Cable,24,MTWRFSU,0.625,daytime,30,3521429,1130220,62,7,59.08,1.049424509,60.69784918,1.021452998,48.112,1.288659794,64.58,0.960049551,1.090054114
series698,network5,Broadcast,20,MTWRF,0.375,daytime,60,3495965,2045640,55,5,50.152,1.096666135,45.55951476,1.207212155,48.112,1.143165946,47.37,1.161072409,1.170483503
