series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed
series1317,network13,Broadcast,20,M T W R F,7:00 AM,earlymorning,120,"14,781,161",11556548.88,35.05%
series509,network5,Broadcast,20,M T W R F,7:00 AM,earlymorning,120,"12,743,372",9929612.727,35.04%
series831,network13,Broadcast,20,M T W R F,6:30 PM,earlyfringe,30,"9,944,649",3573048.141,68.33%
series1157,network4,Broadcast,20,M T W R F,7:00 AM,earlymorning,120,"8,792,309",6309502.749,33.37%
series58,network5,Broadcast,23,M T W R F S,6:30 PM,earlyfringe,30,"8,615,800",2998523.374,66.21%
series1282,network13,Broadcast,19,M T W R F,11:35 PM,latefringe,62,"7,668,241",3978746.925,47.53%
series237,network4,Broadcast,20,M T W R F,6:30 PM,earlyfringe,30,"7,180,556",2408889.268,64.25%
series1318,network13,Broadcast,20,M T W R F,9:00 AM,daytime,60,"6,827,592",4100840,57.00%
series1237,network4,Broadcast,20,M T W R F,11:00 AM,daytime,60,"6,711,197",4082280,57.00%
series1291,network5,Broadcast,20,M T W R F,11:00 AM,daytime,60,"6,376,645",3657400,54.00%
series853,network5,Broadcast,20,M T W R F,11:35 PM,latefringe,27,"6,133,555",1970675.858,68.37%
series675,network4,Broadcast,17,M T W R F,11:35 PM,latefringe,62,"6,076,205",3297444.112,50.08%
series1304,network4,Broadcast,20,M T W R F,12:30 PM,daytime,60,"5,769,701",3455960,56.00%
series587,network32,Cable,26,M T W R F S U,6:30 PM,earlyfringe,30,"5,076,336",1697821.342,63.70%
series587,network32,Cable,25,M T W R F S U,6:00 PM,earlyfringe,30,"5,025,463",1644354.271,62.38%
series1319,network13,Broadcast,20,M T W R F,10:00 AM,daytime,60,"4,959,920",2883120,55.00%
series450,network34,Cable,20,M T W R F,6:00 AM,earlymorning,180,"4,958,273",3607808.328,22.03%
series1223,network34,Cable,20,M T W R F,8:00 PM,prime,60,"4,730,637",2365596.285,47.01%
series636,network5,Broadcast,20,M T W R F,12:02 AM,latefringe,64,"4,675,812",2990883.243,57.88%
series314,network5,Broadcast,3,M,8:00 PM,prime,121,"4,473,165",4094865.438,39.75%
series1059,network32,Cable,27,M T W R F S U,3:30 PM,daytime,30,"4,408,064",1496218.5,65.00%
series525,network34,Cable,21,M T W R F U,9:00 PM,prime,60,"4,368,287",1913884.286,41.30%
series72,network5,Broadcast,20,M T W R F,1:00 PM,daytime,60,"4,307,543",2340580,52.00%
series314,network5,Broadcast,4,T,9:00 PM,prime,61,"4,191,927",2322875.183,49.51%
series587,network32,Cable,21,M T W R F S U,7:00 PM,primeaccess,30,"4,101,843",1398419.052,64.86%
series687,network4,Broadcast,20,M T W R F,3:00 PM,daytime,60,"4,054,714",2214040,52.00%
series1277,network4,Broadcast,20,M T W R F,2:00 PM,daytime,60,"3,907,182",2100660,51.00%
series1172,network34,Cable,20,M T W R F,7:00 PM,primeaccess,60,"3,884,737",1632469.957,39.98%
series674,network13,Broadcast,19,M T W R F,12:37 AM,latefringe,59,"3,863,585",2486138.907,63.31%
series325,network13,Broadcast,20,M T W R F,1:00 PM,daytime,60,"3,839,376",2171540,54.00%
series83,network18,Broadcast,4,R,8:00 PM,prime,60.25,"3,829,201",2390738.912,56.78%
series872,network34,Cable,20,M T W R F,10:00 PM,prime,60,"3,740,734",1665062.829,41.93%
series1059,network32,Cable,23,M T W R F S U,8:30 AM,earlymorning,30,"3,551,442",1209136.434,65.57%
series1059,network32,Cable,24,M T W R F S U,3:00 PM,daytime,30,"3,521,429",1130220,62.00%
series698,network5,Broadcast,20,M T W R F,9:00 AM,daytime,60,"3,495,965",2045640,55.00%
series416,network26,Cable,24,M T W R F U,11:00 PM,latefringe,30,"3,491,974",1129070.116,61.87%
series1129,network4,Broadcast,20,M T W R F,1:30 PM,daytime,30,"3,466,797",1258990,69.00%
series873,network5,Broadcast,20,M T W R F,2:00 PM,daytime,60,"3,437,748",2017360,56.00%
series1055,network34,Cable,20,M T W R F,6:00 PM,earlyfringe,60,"3,396,922",1686363.464,47.05%
series1059,network32,Cable,16,M T W R F U,5:30 PM,earlyfringe,30,"3,392,171",1182893.762,66.51%
series193,network5,Broadcast,5,T U,10:01 PM,prime,59,"3,351,520",1795463.143,50.18%
series1223,network34,Cable,20,M T W R F,11:00 PM,latefringe,60,"3,294,880",1463555.176,42.19%
